"Date","Offense type","Observations"
2022-12-31,"Unknown",0.2
2022-12-31,"Violence",0
2022-12-31,"Drugs",0
2022-12-31,"Dishonesty",0
2022-12-31,"Other",0
2022-12-31,"Weapons",0
2022-12-31,"Breaches",0
2023-03-31,"Sexual Assault",22
2023-03-31,"Acts Intended To Cause Injury",20.4
2023-03-31,"Unlawful Entry With Intent/Burglary",10.4
2023-03-31,"Homicide",9.3
2023-03-31,"Illicit Drug Offences",8.4
2023-03-31,"Robbery, Extortion",7.2
2023-03-31,"Offences Against Justice",5.4
2023-03-31,"Theft",4.7
2023-03-31,"Abduction, Harassment",3.5
2023-03-31,"Prohibited And Regulated Weapons",2
2023-03-31,"Traffic",2
2023-03-31,"Fraud, Deception",1.8
2023-03-31,"Property Damage",1.3
2023-03-31,"Public Order",0.7
2023-03-31,"Dangerous Or Negligent Acts",0.7
2023-03-31,"Miscellaneous Offences",0.1
2023-03-31,"Unknown",0.1
2023-03-31,"Violence",0
2023-03-31,"Drugs",0
2023-03-31,"Dishonesty",0
2023-03-31,"Other",0
2023-03-31,"Weapons",0
2023-03-31,"Breaches",0
2023-06-30,"Sexual Assault",21.7
2023-06-30,"Acts Intended To Cause Injury",20.6
2023-06-30,"Unlawful Entry With Intent/Burglary",10.2
2023-06-30,"Homicide",9
2023-06-30,"Illicit Drug Offences",8.2
2023-06-30,"Robbery, Extortion",6.8
2023-06-30,"Offences Against Justice",5.9
2023-06-30,"Theft",5.1
2023-06-30,"Abduction, Harassment",3.6
2023-06-30,"Prohibited And Regulated Weapons",2.1
2023-06-30,"Traffic",1.8
2023-06-30,"Fraud, Deception",1.8
2023-06-30,"Property Damage",1.7
2023-06-30,"Public Order",0.7
2023-06-30,"Dangerous Or Negligent Acts",0.6
2023-06-30,"Miscellaneous Offences",0.2
2023-06-30,"Unknown",0
2023-06-30,"Violence",0
2023-06-30,"Drugs",0
2023-06-30,"Dishonesty",0
2023-06-30,"Other",0
2023-06-30,"Weapons",0
2023-06-30,"Breaches",0
2023-09-30,"Sexual Assault",21.3
2023-09-30,"Acts Intended To Cause Injury",19.8
2023-09-30,"Unlawful Entry With Intent/Burglary",10.5
2023-09-30,"Homicide",8.9
2023-09-30,"Illicit Drug Offences",8.7
2023-09-30,"Robbery, Extortion",6.4
2023-09-30,"Offences Against Justice",6.2
2023-09-30,"Theft",5.1
2023-09-30,"Abduction, Harassment",3.7
2023-09-30,"Prohibited And Regulated Weapons",2
2023-09-30,"Traffic",2
2023-09-30,"Fraud, Deception",1.9
2023-09-30,"Property Damage",1.7
2023-09-30,"Public Order",0.9
2023-09-30,"Dangerous Or Negligent Acts",0.7
2023-09-30,"Miscellaneous Offences",0.2
2023-09-30,"Unknown",0
2023-09-30,"Violence",0
2023-09-30,"Drugs",0
2023-09-30,"Dishonesty",0
2023-09-30,"Other",0
2023-09-30,"Weapons",0
2023-09-30,"Breaches",0
2023-12-31,"Sexual Assault",21
2023-12-31,"Acts Intended To Cause Injury",20.4
2023-12-31,"Unlawful Entry With Intent/Burglary",10.7
2023-12-31,"Homicide",8.8
2023-12-31,"Illicit Drug Offences",8.2
2023-12-31,"Robbery, Extortion",6.6
2023-12-31,"Offences Against Justice",5.5
2023-12-31,"Theft",5.4
2023-12-31,"Abduction, Harassment",3.6
2023-12-31,"Prohibited And Regulated Weapons",2.5
2023-12-31,"Traffic",2.1
2023-12-31,"Fraud, Deception",1.9
2023-12-31,"Property Damage",1.6
2023-12-31,"Public Order",0.8
2023-12-31,"Dangerous Or Negligent Acts",0.6
2023-12-31,"Miscellaneous Offences",0.3
2023-12-31,"Unknown",0
2023-12-31,"Violence",0
2023-12-31,"Drugs",0
2023-12-31,"Dishonesty",0
2023-12-31,"Other",0
2023-12-31,"Weapons",0
2023-12-31,"Breaches",0
2024-03-31,"Sexual Assault",20.6
2024-03-31,"Acts Intended To Cause Injury",21
2024-03-31,"Unlawful Entry With Intent/Burglary",10.7
2024-03-31,"Homicide",8.8
2024-03-31,"Illicit Drug Offences",8.6
2024-03-31,"Robbery, Extortion",6.2
2024-03-31,"Offences Against Justice",6
2024-03-31,"Theft",5.3
2024-03-31,"Abduction, Harassment",3.5
2024-03-31,"Prohibited And Regulated Weapons",2.2
2024-03-31,"Traffic",1.7
2024-03-31,"Fraud, Deception",1.9
2024-03-31,"Property Damage",1.8
2024-03-31,"Public Order",0.9
2024-03-31,"Dangerous Or Negligent Acts",0.6
2024-03-31,"Miscellaneous Offences",0.2
2024-03-31,"Unknown",0
2024-03-31,"Violence",0
2024-03-31,"Drugs",0
2024-03-31,"Dishonesty",0
2024-03-31,"Other",0
2024-03-31,"Weapons",0
2024-03-31,"Breaches",0
